municipio_sem_acento|ibge7|nome_oficial
sao sebastiao do rio verde|3164902|São Sebastião do Rio Verde
sao tiago|3165008|São Tiago
sao tomas de aquino|3165107|São Tomás de Aquino
sao tome das letras|3165206|São Tomé das Letras
sao vicente de minas|3165305|São Vicente de Minas
sapucai-mirim|3165404|Sapucaí-Mirim
sardoa|3165503|Sardoá
sarzedo|3165537|Sarzedo
sem-peixe|3165560|Sem-Peixe
senador amaral|3165578|Senador Amaral
senador cortes|3165602|Senador Cortes
senador firmino|3165701|Senador Firmino
senador jose bento|3165800|Senador José Bento
senador modestino goncalves|3165909|Senador Modestino Gonçalves
senhora de oliveira|3166006|Senhora de Oliveira
senhora do porto|3166105|Senhora do Porto
senhora dos remedios|3166204|Senhora dos Remédios
sericita|3166303|Sericita
seritinga|3166402|Seritinga
serra azul de minas|3166501|Serra Azul de Minas
serra da saudade|3166600|Serra da Saudade
serra do salitre|3166808|Serra do Salitre
serra dos aimores|3166709|Serra dos Aimorés
serrania|3166907|Serrania
serranopolis de minas|3166956|Serranópolis de Minas
serranos|3167004|Serranos
serro|3167103|Serro
sete lagoas|3167202|Sete Lagoas
setubinha|3165552|Setubinha
silveirania|3167301|Silveirânia
silvianopolis|3167400|Silvianópolis
simao pereira|3167509|Simão Pereira
simonesia|3167608|Simonésia
sobralia|3167707|Sobrália
soledade de minas|3167806|Soledade de Minas
tabuleiro|3167905|Tabuleiro
taiobeiras|3168002|Taiobeiras
taparuba|3168051|Taparuba
tapira|3168101|Tapira
tapirai|3168200|Tapiraí
taquaracu de minas|3168309|Taquaraçu de Minas
tarumirim|3168408|Tarumirim
teixeiras|3168507|Teixeiras
teofilo otoni|3168606|Teófilo Otoni
timoteo|3168705|Timóteo
tiradentes|3168804|Tiradentes
tiros|3168903|Tiros
tocantins|3169000|Tocantins
tocos do moji|3169059|Tocos do Moji
toledo|3169109|Toledo
tombos|3169208|Tombos
tres coracoes|3169307|Três Corações
tres marias|3169356|Três Marias
tres pontas|3169406|Três Pontas
tumiritinga|3169505|Tumiritinga
tupaciguara|3169604|Tupaciguara
turmalina|3169703|Turmalina
turvolandia|3169802|Turvolândia
uba|3169901|Ubá
ubai|3170008|Ubaí
ubaporanga|3170057|Ubaporanga
uberaba|3170107|Uberaba
uberlandia|3170206|Uberlândia
umburatiba|3170305|Umburatiba
unai|3170404|Unaí
uniao de minas|3170438|União de Minas
uruana de minas|3170479|Uruana de Minas
urucania|3170503|Urucânia
urucuia|3170529|Urucuia
vargem alegre|3170578|Vargem Alegre
vargem bonita|3170602|Vargem Bonita
vargem grande do rio pardo|3170651|Vargem Grande do Rio Pardo
varginha|3170701|Varginha
varjao de minas|3170750|Varjão de Minas
varzea da palma|3170800|Várzea da Palma
varzelandia|3170909|Varzelândia
vazante|3171006|Vazante
verdelandia|3171030|Verdelândia
veredinha|3171071|Veredinha
verissimo|3171105|Veríssimo
vermelho novo|3171154|Vermelho Novo
vespasiano|3171204|Vespasiano
vicosa|3171303|Viçosa
vieiras|3171402|Vieiras
virgem da lapa|3171600|Virgem da Lapa
virginia|3171709|Virgínia
virginopolis|3171808|Virginópolis
virgolandia|3171907|Virgolândia
visconde do rio branco|3172004|Visconde do Rio Branco
volta grande|3172103|Volta Grande
wenceslau braz|3172202|Wenceslau Braz
